Iteration,Timestamp,Namespace,Service,Timeout(s),Delay(s),Rate,Duration,Total,SuccessRatio(%),SuccessCount,Errors,TimeoutHits,TimeoutHitRate(%),TimeoutAccuracyMean(ms),TimeoutAccuracyP95(ms),WastedTimeMean(ms),WastedTimeP95(ms),P95_200(ms),P99_200(ms)
75,20250826_010355,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,550.270846,593.132942
76,20250826_010456,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.232916,584.662046
77,20250826_010558,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,546.055233,591.780416
78,20250826_010700,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,549.080355,589.655162
79,20250826_010801,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,542.846792,589.254567
80,20250826_010903,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.266043,592.462028
81,20250826_011005,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.487478,590.036675
82,20250826_011107,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.438819,582.590382
83,20250826_011209,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,551.37857,591.81533
84,20250826_011311,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.063442,591.559638
85,20250826_011412,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,541.483571,585.425175
86,20250826_011514,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,547.060745,590.157088
87,20250826_011616,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.423482,585.882709
88,20250826_011718,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,546.275966,594.301385
89,20250826_011820,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.963839,584.085684
90,20250826_011921,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,543.178077,586.810244
91,20250826_012023,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,548.197773,589.308027
92,20250826_012125,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,546.525227,592.535556
93,20250826_012226,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.304391,590.77206
94,20250826_012328,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,547.803039,594.651962
95,20250826_012430,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,544.34512,587.434353
96,20250826_012532,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,545.985635,588.268599
97,20250826_012634,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,545.818405,591.312505
98,20250826_012735,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,538.646384,586.526469
99,20250826_012837,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,542.947281,589.718965
100,20250826_012939,objs-fed,backend,1,0.5,60,60s,3600,100,3600,0,0,0,0,0,0,0,542.366661,580.163049
101,20250826_013043,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.55064,890.222876
102,20250826_013145,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,839.24374,887.128216
103,20250826_013247,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,842.737752,893.206813
104,20250826_013349,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.248119,886.190987
105,20250826_013451,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,841.512388,888.413686
106,20250826_013553,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,845.840289,892.395159
107,20250826_013658,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,848.172052,886.765253
108,20250826_013800,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.528494,887.066368
109,20250826_013902,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,845.252448,887.117343
110,20250826_014004,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,846.256842,887.592414
111,20250826_014106,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.317633,890.664394
112,20250826_014209,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,841.96178,883.009248
113,20250826_014311,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.555684,891.019564
114,20250826_014413,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,839.775726,885.157545
115,20250826_014515,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,842.785436,889.117294
116,20250826_014617,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,839.470509,888.717658
117,20250826_014719,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,845.185669,886.520923
118,20250826_014821,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.860819,888.367728
119,20250826_014923,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,848.456271,891.942254
